FrameStart,FrameEnd,RefB_EulerZ,RefB_EulerY,RefB_EulerX,RefB_TvecX,RefB_TvecY,RefB_TvecZ,Robot_alpha0,Robot_alpha1,Robot_alpha2,Robot_alpha3
250.0,350.0,0.0012456273584535715,0.012403172826641162,-3.137548436154564,-0.5816882245339253,-0.21395502999245722,1.3315006714788198,0.3486220975123101,0.47927414482212144,1.3483497912016442,-0.37717402033968805
750.0,850.0,0.0005719783448860927,0.012559551120331802,-3.1368726259456032,-0.5816205166931582,-0.21413558642717825,1.3308616177604191,0.0683613526333692,0.48198790902777217,1.2996285980531794,-0.17359259168851127
1250.0,1350.0,0.0007412452487434162,0.01638283443565358,-3.1375697513733094,-0.5822193920127451,-0.21441202736524298,1.331857619869653,0.0905836929725484,0.44033816829583383,1.191171169806681,-0.016397687786131335
1750.0,1850.0,0.0018273780253854621,0.016882179594817304,-3.136293347961943,-0.5820559418859041,-0.21443323654937593,1.3324253771442842,0.03316919135152622,0.47274100627640236,1.1730999754672693,-0.013259807884258144
2250.0,2350.0,0.0016303303959208648,0.01536999057502908,-3.1378649078169416,-0.5818231516437787,-0.21361070345398125,1.3306702528212049,0.21979460958114844,0.4961670711954988,1.3239577908047822,-0.17708745864048464
2750.0,2850.0,-0.0003746679444893708,0.014294568684453779,-3.1357036348507314,-0.5823000086500494,-0.21401147428646566,1.3313881257207443,0.22851501534775787,0.548226522693861,1.3440925096510368,-0.2594083388679869
3250.0,3350.0,0.00023780217473357013,0.016182226455597526,-3.135321949741339,-0.5825256310608867,-0.21442502738729605,1.3324456709233963,0.059730384740282395,0.46346359083783184,1.3607641922851208,-0.2048800752743551
3750.0,3850.0,0.000934982138637741,0.018662446103274055,-3.1370239497429777,-0.5824477806568492,-0.21426472635414695,1.3317370977497396,0.11162185080273193,0.46507060707836223,1.3690482983954584,-0.25967149524635946
4250.0,4350.0,0.0012289730805847832,0.017980625272093986,-3.1299319754549346,-0.5819015963533125,-0.2146931423594301,1.332480546709905,0.055730362810267546,0.46054770720114135,1.1687643689352953,-0.04252462269689175
4750.0,4850.0,0.0010885321291538297,0.017642625755525998,-3.129830004319276,-0.5818449208737603,-0.2145402276484042,1.3320729963233535,0.4347010024131679,0.1616117259605636,1.4585924517707234,0.13243467363675854
5250.0,5350.0,-0.001183655298173214,0.014062503630301926,-3.1292495991697815,-0.5826117468612398,-0.21492007296674354,1.333490020552339,0.07574176280059948,0.1552627872059477,1.512727788151548,0.06030901824178536
5750.0,5850.0,0.0005596706381554295,0.019355250336150487,-3.1314814796597394,-0.582574616997876,-0.21481273960377395,1.3330198944883591,0.2254466202815458,0.15556104656412356,1.5499608694162894,-0.05700194605297085
6250.0,6350.0,0.0012202666647982419,0.02021851556726717,-3.1351577916726203,-0.582496998965418,-0.21447009664752037,1.3320414094243054,0.21881353699293285,0.17811177950519796,1.5185068224603282,-0.04505394389285197
6750.0,6850.0,0.0013222352564432605,0.017797144437627255,-3.1310143735119964,-0.5824178977749046,-0.21488235579905118,1.3338212509478635,0.12362434011620213,0.1713271874265192,1.4879127064569833,0.10107731870521593
7250.0,7350.0,0.0014649495737188989,0.020928157768605793,-3.1306851847646486,-0.5820439993202132,-0.2148103798811761,1.3323894847673752,0.019887360356487596,0.17576891605249878,1.4123517661057452,0.167939945031131
7750.0,7850.0,0.0008147198215837648,0.015757845399940962,-3.1282773298381814,-0.581984981050319,-0.21479062699483117,1.333196318825845,-0.004767585625508582,0.1425624170643137,1.3885896843536019,0.17382698011095676
8250.0,8350.0,0.0007715277496107564,0.018576307181687568,-3.1302132558285694,-0.5821141962433591,-0.2148764629235458,1.3325110007252063,0.020160801862812994,0.16791695258999553,1.446197073079993,0.10139084783281146
8750.0,8850.0,-0.0002097302569212811,0.017237685052418517,-3.1304019226429443,-0.5823763311787836,-0.21451835896901614,1.3320068279806263,0.30171554213371504,0.19116488304525625,1.535401529800691,-0.1274818207141131
